# Base Pair	Mean Quality Score
0	31.199119852973602
1	31.329073619474457
2	35.67421200436162
3	36.056697842186736
4	36.195361224886476
5	39.685999934533726
6	39.88179941769874
7	40.0572490156709
8	40.120682728535556
9	40.16693165533483
10	40.18444518420269
11	40.19742842001349
12	40.14063372849114
13	40.14495208461659
14	40.157062584075035
15	40.145722743168385
16	40.062332593235524
17	40.09511225790412
18	40.10405142335201
19	40.095999378671806
20	40.069021665470075
21	40.1284427646753
22	40.06096943668899
23	40.10481326960841
24	40.06393247896534
25	40.051466947098945
26	39.997677272853295
27	40.02108047112004
28	39.96451701030139
29	40.00858132243319
30	39.91714632002778
31	39.972974702857805
32	39.95330468993675
33	39.992783356013945
34	40.00991153719582
35	40.00232206438354
36	39.9917211307638
37	39.96603165732434
38	39.97570901820241
39	39.96754485608705
40	39.94984946009779
41	39.93836000654368
42	39.93795052936919
43	39.93025322253553
44	39.84451155207854
45	39.88393674298716
46	39.89296689108932
47	39.890024222643554
48	39.88655894089661
49	39.880672462579625
50	39.88375763737893
51	39.87566437864867
52	39.79577582742943
53	39.83230068082101
54	39.842659030849525
55	39.838232042932226
56	39.78746683928947
57	39.806170506698024
58	39.7956603348115
59	39.78584055349365
60	39.767150963665614
61	39.76088462386883
62	39.71170474971308
63	39.732214201274225
64	39.72291136295048
65	39.712673881285546
66	39.70112108475576
67	39.68891497557429
68	39.677195850037265
69	39.588035094880496
70	39.60689156601841
71	39.6079467463416
72	39.60158102889047
73	39.58041275392466
74	39.56046440502174
75	39.548137329289546
76	38.86377789313948
77	39.248520746370986
78	39.35524591587849
79	39.403497492036685
80	39.49309513085209
81	39.50463636584669
82	39.480135128572186
83	39.46704749528975
84	39.45254670366211
85	39.442099175167925
86	39.404116377824046
87	39.26051445223195
88	39.30353769844126
89	39.3110030504411
90	39.29781405121483
91	39.25695238251636
92	39.222407190420654
93	39.16909096226817
94	39.14448155959071
95	39.15177282579961
96	39.133755474193606
97	38.90811806202798
98	38.96662225294334
99	39.04778506453147
100	37.917269667616544
	Command being timed: "/projects/bgmp/czakari2/bioinformatics/Bi622/Demultiplex/Assignment-the-first/qs_dist.py -f /projects/bgmp/shared/2017_sequencing/demultiplexed/10_2G_both_S8_L008_R1_001.fastq.gz -p /projects/bgmp/czakari2/bioinformatics/Bi623/ass/qaa/my_QC_output/10_2G_both_S8_L008_R1.png"
	User time (seconds): 2087.26
	System time (seconds): 1.46
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 34:57.18
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 51748
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 49436
	Voluntary context switches: 3432
	Involuntary context switches: 540
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
# Base Pair	Mean Quality Score
0	30.11523245884066
1	30.747228978008526
2	33.834618032222046
3	34.56114226445725
4	35.04145462080871
5	37.8059135141447
6	37.987992032457626
7	38.1194468347898
8	38.316131376792654
9	38.20291639356835
10	38.29647606739511
11	38.30139901080634
12	38.20169720390899
13	38.210383562030195
14	38.1081507976189
15	37.90762286748435
16	37.95048835151397
17	38.07988781481573
18	37.91275794420145
19	38.01732849521133
20	37.89108405458228
21	37.89478850791748
22	37.99343074061734
23	37.99716128718376
24	38.01635288328794
25	38.02721105492884
26	37.98868841244154
27	38.02410545720539
28	38.014575941606346
29	37.96040045328582
30	37.863008130545296
31	37.520654676471
32	37.424078816580895
33	37.19345051550639
34	37.04486572780373
35	36.928247431188275
36	36.85833611663178
37	36.859230454153916
38	36.8093536477116
39	37.11328409469418
40	37.328128040541074
41	37.4917256780555
42	37.48685924134065
43	37.66382395272466
44	37.69167371496881
45	37.67297898258957
46	37.71310173172773
47	37.66813398749039
48	37.65348863985277
49	37.60899563041474
50	37.68572667973611
51	37.705297990039384
52	37.70147824046052
53	37.499287903937734
54	37.52866339607773
55	37.60342540058725
56	37.6097717997195
57	37.53357204098739
58	37.49655882933148
59	37.42242813128195
60	37.399738949863305
61	37.436932752207866
62	37.45022414834289
63	37.3651621783302
64	37.396292912794884
65	37.32531516321482
66	37.387266544897436
67	37.27244340367717
68	37.22470065780103
69	37.266626147290594
70	37.253147937857214
71	37.18196885555616
72	37.11800824597655
73	37.11955758987845
74	37.11110797321391
75	36.98800128659513
76	36.038409653641324
77	36.45237967507152
78	36.908334159639445
79	37.02569618698483
80	37.15794193578564
81	37.16528564619819
82	37.190274861261884
83	37.09089191708651
84	36.99978807534179
85	37.000231635725626
86	36.929895342700654
87	36.927863347661656
88	36.887566880934315
89	36.804887679501576
90	36.76420493231046
91	36.66743714111758
92	36.63217459381117
93	36.583414126003966
94	36.40253187065431
95	36.40768247321218
96	36.40935580291922
97	36.31929651274029
98	36.06422978961111
99	36.13926843637441
100	34.12512038203043
	Command being timed: "/projects/bgmp/czakari2/bioinformatics/Bi622/Demultiplex/Assignment-the-first/qs_dist.py -f /projects/bgmp/shared/2017_sequencing/demultiplexed/10_2G_both_S8_L008_R2_001.fastq.gz -p /projects/bgmp/czakari2/bioinformatics/Bi623/ass/qaa/my_QC_output/10_2G_both_S8_L008_R2.png"
	User time (seconds): 2118.67
	System time (seconds): 1.37
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 35:24.24
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 53520
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 40538
	Voluntary context switches: 967
	Involuntary context switches: 549
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
# Base Pair	Mean Quality Score
0	31.3837411237578
1	31.4244713321893
2	35.2069667398121
3	36.05427518046808
4	36.10018047468247
5	39.54538356215369
6	39.71620785129541
7	39.69414464318569
8	40.00620799119826
9	40.08152693671085
10	40.12180259284864
11	40.13968904082867
12	40.09865553356705
13	40.093740191951994
14	40.08702195128583
15	40.088805844666126
16	39.99737352188015
17	40.03194061361392
18	40.04591030959974
19	40.04180957215331
20	40.00984889699797
21	40.06296420361092
22	40.000454288326054
23	40.04262206458074
24	39.99890638202507
25	39.98536431363264
26	39.923733410623065
27	39.949782794219004
28	39.900008526155105
29	39.9369455194527
30	39.84306146513133
31	39.904853916342844
32	39.89150639210863
33	39.93081302300241
34	39.94030609160786
35	39.93397720322579
36	39.93172714297518
37	39.912141271262925
38	39.91960099705861
39	39.91068205809242
40	39.893707090408654
41	39.87117217210796
42	39.76268041199015
43	39.816307287909254
44	39.76850565009557
45	39.82246538922162
46	39.83206008537242
47	39.831837296675616
48	39.825283771823194
49	39.82197546526278
50	39.82386468173552
51	39.8163080798122
52	39.73559680314058
53	39.77061607145921
54	39.761586530047566
55	39.768251977183695
56	39.71294653097674
57	39.73170723981435
58	39.72634552890274
59	39.71823565078453
60	39.704259355607455
61	39.70360973122022
62	39.65431535634445
63	39.670511619460015
64	39.66232677452913
65	39.64613315109007
66	39.63773845187725
67	39.63676652298908
68	39.62182305034153
69	39.53047070975358
70	39.55337782244111
71	39.5484601051172
72	39.535973115422756
73	39.517905057699366
74	39.48640764577019
75	39.33072031756364
76	38.64301014982012
77	39.013285755804056
78	39.113357211846974
79	39.16247763204124
80	39.24790152317253
81	39.252512774054516
82	39.233619817424135
83	39.21866631400589
84	39.19827085351036
85	39.19161702095085
86	39.15329947684251
87	39.00918317058408
88	39.05061685280346
89	39.05949698852506
90	39.04249562407628
91	39.002671352620396
92	38.96593286299577
93	38.911452051728155
94	38.887968169724864
95	38.88860433176193
96	38.86834138302683
97	38.650714573627575
98	38.70069130487921
99	38.77873228480103
100	37.620442499530796
	Command being timed: "/projects/bgmp/czakari2/bioinformatics/Bi622/Demultiplex/Assignment-the-first/qs_dist.py -f /projects/bgmp/shared/2017_sequencing/demultiplexed/31_4F_fox_S22_L008_R1_001.fastq.gz -p /projects/bgmp/czakari2/bioinformatics/Bi623/ass/qaa/my_QC_output/31_4F_fox_S22_L008_R1.png"
	User time (seconds): 100.61
	System time (seconds): 0.70
	Percent of CPU this job got: 100%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:40.80
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 50008
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 25461
	Voluntary context switches: 1018
	Involuntary context switches: 28
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
# Base Pair	Mean Quality Score
0	30.594973580797728
1	30.983402506056077
2	34.27127005131267
3	34.880044124832416
4	35.37282790919407
5	38.384269586993575
6	38.33252717612951
7	38.60654513068115
8	38.70441245684459
9	38.55598265521364
10	38.653873738465606
11	38.75155813504743
12	38.59328761941566
13	38.73605557891669
14	38.58381144473982
15	38.37763581597548
16	38.48346493440536
17	38.593788630015815
18	38.43383875219324
19	38.49906515856669
20	38.33613482200529
21	38.386733197073234
22	38.59839486551244
23	38.53389542604775
24	38.558542877453284
25	38.51757377829832
26	38.446757592963465
27	38.55595625844862
28	38.53757407922144
29	38.43638709588863
30	38.26318604202418
31	37.870773844923754
32	37.845237086504575
33	37.65982832071964
34	37.56852692588818
35	37.5520284198131
36	37.516396482578266
37	37.517144038963735
38	37.48481037751861
39	37.944194071128194
40	38.16751255100185
41	38.323358523766196
42	38.30742517243027
43	38.45350011865346
44	38.46351927478584
45	38.435929639950764
46	38.470509402131746
47	38.430503520932504
48	38.41597975684884
49	38.384422160295415
50	38.46680488012833
51	38.48407892315981
52	38.47873648188667
53	38.271309382492554
54	38.30559086122877
55	38.387805961603796
56	38.39530607444996
57	38.32882001444959
58	38.300370900945346
59	38.233980397234355
60	38.219605246937775
61	38.26017997842328
62	38.25915657584332
63	38.19396844477915
64	38.22946998199477
65	38.16274529523858
66	38.22888159810239
67	38.12342520199464
68	38.08702723063883
69	38.13291061553824
70	38.131568076069144
71	38.0650595788185
72	38.012670183243706
73	38.01680180490521
74	38.00807001900303
75	37.899947813595546
76	37.03265517404311
77	37.40291309419448
78	37.81392973128357
79	37.765493515238724
80	37.87524492898346
81	37.862153717337634
82	37.888708598983776
83	37.79294430308977
84	37.702625923787785
85	37.71122176635009
86	37.643063735253115
87	37.65421927211976
88	37.624580456415906
89	37.55871841594069
90	37.52182444937008
91	37.43853737636745
92	37.41376190065155
93	37.378588475225186
94	37.198900416356175
95	37.21513548271632
